City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Maine-Soroa,NE,2020-08-22 15:53:48,13.21,12.02,91.98,40,89,9.26
120,Camacha,PT,2020-08-22 15:53:48,33.08,-16.33,77.0,65,40,14.99
121,Roald,NO,2020-08-22 15:53:48,62.58,6.13,62.01,82,75,17.22
122,Abha,SA,2020-08-22 15:53:48,18.22,42.51,77.0,69,40,16.11
123,Dunedin,NZ,2020-08-22 15:50:14,-45.87,170.5,46.99,93,83,1.99
124,Maceio,BR,2020-08-22 15:51:37,-9.67,-35.74,82.4,61,75,10.29
125,Los Llanos De Aridane,ES,2020-08-22 15:53:49,28.66,-17.92,84.0,74,0,18.34
126,Atuona,PF,2020-08-22 15:53:49,-9.8,-139.03,78.96,75,6,20.45
127,Aitape,PG,2020-08-22 15:53:49,-3.14,142.35,78.57,83,26,3.31
128,Bambous Virieux,MU,2020-08-22 15:53:49,-20.34,57.76,71.6,78,75,12.75
129,Codrington,AU,2020-08-22 15:53:49,-38.27,141.97,46.67,82,37,18.05
130,Mackay,AU,2020-08-22 15:53:49,-21.15,149.2,53.6,87,0,11.86
131,Katete,UG,2020-08-22 15:53:49,-0.78,29.75,72.99,66,25,1.52
132,Bentiu,SS,2020-08-22 15:53:49,9.23,29.83,80.37,77,44,3.02
133,Caravelas,BR,2020-08-22 15:53:49,-17.71,-39.25,71.69,83,97,13.31
134,Oistins,BB,2020-08-22 15:53:38,13.07,-59.53,87.8,70,40,13.87
135,Muros,ES,2020-08-22 15:53:50,42.78,-9.06,72.0,72,32,11.99
136,Beinamar,TD,2020-08-22 15:53:50,8.67,15.38,75.13,89,100,3.15
137,Fortuna,US,2020-08-22 15:53:50,40.6,-124.16,60.01,100,90,5.82
138,College,US,2020-08-22 15:53:50,64.86,-147.8,55.4,76,75,3.36
139,Kupang,ID,2020-08-22 15:53:51,-10.17,123.58,74.16,81,0,9.24
140,Vila,PT,2020-08-22 15:53:51,42.03,-8.16,81.0,64,80,11.41
141,Labuan,MY,2020-08-22 15:53:51,5.28,115.24,75.2,100,40,5.77
142,Wageningen,NL,2020-08-22 15:53:51,51.97,5.67,69.01,88,75,11.41
143,Matara,LK,2020-08-22 15:53:51,5.95,80.54,79.29,87,73,5.86
144,Muroto,JP,2020-08-22 15:53:51,33.28,134.15,82.47,76,88,6.73
145,Kutum,SD,2020-08-22 15:53:51,14.2,24.67,79.93,57,88,20.54
146,San Juan,AR,2020-08-22 15:53:51,-31.54,-68.54,63.41,24,0,5.23
147,Shahr-E Kord,IR,2020-08-22 15:53:52,32.33,50.86,82.4,5,0,9.17
148,Ormond Beach,US,2020-08-22 15:53:52,29.29,-81.06,86.0,79,75,5.82
149,Palora,EC,2020-08-22 15:53:52,-1.7,-77.93,64.4,100,90,4.27
150,Zhigansk,RU,2020-08-22 15:53:52,66.77,123.37,41.0,71,0,14.85
151,Punta Arenas,CL,2020-08-22 15:53:52,-53.15,-70.92,41.0,80,75,12.75
152,Frolovo,RU,2020-08-22 15:53:52,49.77,43.66,71.01,41,42,7.0
