City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Longyan,CN,75.04,clear sky,25.11,117.02,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
288,Phan Thiet,VN,79.02,overcast clouds,10.93,108.1,Hotel Saigon-PT
290,Dakar,SN,86.0,broken clouds,14.69,-17.44,Novotel Dakar
291,Bud,US,82.0,clear sky,39.45,-86.18,Madsion Scouts Camp
294,Tecoanapa,MX,84.51,broken clouds,16.52,-98.75,Hotel Manglares
295,Panaba,MX,88.39,overcast clouds,21.28,-88.27,Hotel Amor
298,Sokolow Podlaski,PL,79.0,overcast clouds,52.41,22.25,Noclegi i Restauracja Stara Drukarnia
299,Cardenas,CU,87.8,scattered clouds,23.04,-81.2,Casa JF 1906
302,Vaitape,PF,77.2,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
304,Santa Brigida,ES,89.6,few clouds,28.03,-15.5,Hotel Escuela Santa Brígida
306,Kalianget,ID,79.77,scattered clouds,-7.05,113.93,Pesanggrahan Garam
307,Laguna De Perlas,NI,86.0,few clouds,12.34,-83.67,Hotel Best View
308,Black River,JM,87.8,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
309,Nicoya,CR,77.0,broken clouds,10.15,-85.45,Guayacan Real
311,Luis Correia,BR,89.82,clear sky,-2.88,-41.67,Hotel Amarração
318,Port Blair,IN,82.06,overcast clouds,11.67,92.75,Fortune Resort Bay Island
320,Danville,US,84.0,broken clouds,36.59,-79.39,Holiday Inn Express Danville
324,Sur,OM,80.74,overcast clouds,22.57,59.53,Sur Plaza Hotel
325,Mungeli,IN,79.9,scattered clouds,22.07,81.68,Hotel Puneet
327,Acajutla,SV,77.0,scattered clouds,13.59,-89.83,Stop.
330,Tuy Hoa,VN,79.9,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
331,Sao Jose Da Coroa Grande,BR,79.29,scattered clouds,-8.9,-35.15,Crôa Mares Hotel
332,Buchanan,LR,77.0,light intensity drizzle,5.88,-10.05,Kamaneahn Hotel Inc
337,Mahibadhoo,MV,83.66,light rain,3.78,72.97,Omadhoo Inn
341,Martapura,ID,77.0,scattered clouds,-3.42,114.85,Montana Hotel Syariah
342,Garissa,KE,82.92,broken clouds,-0.45,39.64,Sharif Plaza Hotel
343,Morgantown,US,80.6,scattered clouds,39.63,-79.96,Morgantown Marriott at Waterfront Place
344,Severnyy,RU,75.2,overcast clouds,50.68,36.55,Full House North Mini-Hotel
345,Acapulco,MX,82.4,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
348,Varangaon,IN,77.05,overcast clouds,21.02,75.9,Rajmata jijau nagar varangaon
350,Naco,MX,80.01,scattered clouds,31.33,-109.95,Naco Estates Mobile Home & RV
352,Aplahoue,BJ,82.47,overcast clouds,6.93,1.68,Hotel ARNOGOS
359,Ascension,US,87.8,scattered clouds,30.22,-90.9,Highland Inn
361,Humen,CN,86.0,broken clouds,22.82,113.67,豪门大饭店
364,Sartell,US,80.6,clear sky,45.62,-94.21,AmericInn by Wyndham Sartell
365,Puerto Escondido,MX,80.6,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
366,Porto Santo,PT,77.0,few clouds,33.07,-16.34,Hotel Porto Santo & Spa
368,Moratuwa,LK,84.2,scattered clouds,6.77,79.88,Sa Mansion By Yoho
369,Cienaga De Oro,CO,84.2,scattered clouds,8.87,-75.62,"Motel Sol Y Luna Cienaga De Oro, Cordoba (estamos en servicio 24/7 si está cerrado toque el timbre)"
372,Asau,RO,77.0,few clouds,46.43,26.4,Casa Mika Ciobanus
377,Cayenne,GF,84.2,light rain,4.93,-52.33,Hôtel Le Dronmi
381,Platteville,US,77.0,broken clouds,42.73,-90.48,"Country Inn & Suites by Radisson, Platteville, WI"
383,Lorengau,PG,78.69,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
386,Hurricane,US,86.0,clear sky,37.18,-113.29,Super 8 by Wyndham Hurricane Zion National Park
390,Rincon,US,77.0,light rain,32.3,-81.24,Bent tree subdivision
391,Fort Madison,US,84.2,clear sky,40.63,-91.32,Kingsley Inn
