City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
115,Naze,JP,28.37,129.48,84.2,89,75,8.05,broken clouds,2020-08-23 16:20:48
116,Kavieng,PG,-2.57,150.8,77.23,91,100,11.52,moderate rain,2020-08-23 16:20:53
117,Gidam,IN,18.98,81.4,75.63,92,100,2.19,overcast clouds,2020-08-23 16:23:16
118,Cidreira,BR,-30.18,-50.21,63.0,63,0,14.27,clear sky,2020-08-23 16:16:37
119,Madang,PG,-5.22,145.8,77.47,90,100,7.09,moderate rain,2020-08-23 16:23:17
120,Westport,US,41.14,-73.36,84.99,69,1,6.93,clear sky,2020-08-23 16:23:17
121,Mamallapuram,IN,12.63,80.17,84.2,83,40,9.17,scattered clouds,2020-08-23 16:23:17
122,Upernavik,GL,72.79,-56.15,45.07,80,80,9.28,broken clouds,2020-08-23 16:17:13
123,Bengkulu,ID,-3.8,102.27,77.2,89,96,4.5,overcast clouds,2020-08-23 16:18:58
124,Shishou,CN,29.72,112.42,80.37,84,0,7.74,clear sky,2020-08-23 16:23:17
125,Luba,GQ,3.46,8.55,75.99,85,100,9.95,light rain,2020-08-23 16:23:17
126,Orel-Izumrud,RU,43.46,39.92,75.2,73,40,6.71,scattered clouds,2020-08-23 16:23:18
127,Hobyo,SO,5.35,48.53,76.37,77,42,26.57,scattered clouds,2020-08-23 16:19:03
128,Constitucion,CL,-35.33,-72.42,52.97,78,100,21.3,overcast clouds,2020-08-23 16:21:51
129,Stornoway,GB,58.21,-6.39,55.0,66,99,9.17,overcast clouds,2020-08-23 16:21:54
130,Aksarka,RU,66.56,67.8,52.86,86,99,11.65,overcast clouds,2020-08-23 16:23:18
131,Novikovo,RU,51.15,37.89,68.81,54,23,3.44,few clouds,2020-08-23 16:21:26
132,Shestakovo,RU,56.49,103.96,55.67,90,98,1.41,overcast clouds,2020-08-23 16:23:18
133,Tuatapere,NZ,-46.13,167.68,45.0,91,69,5.01,broken clouds,2020-08-23 16:21:20
